player,team,league,poacher_score,outlet_score,deep_lying_score,dribbler_score,creator_score,target_man_score,age
Maxi Gómez,Cádiz,ESP-La Liga,43.59905018981213,76.10800539116254,42.85635931396934,45.42996141294532,62.135304480825084,87.05825450116329,27
Roger Martí,Cádiz,ESP-La Liga,53.22708585282455,41.18123217209725,46.635906371801674,39.58685988327246,74.11777145954215,59.95306345529096,33
Borja Mayoral,Getafe,ESP-La Liga,69.09334317343045,66.34586774558575,52.76511233371416,64.69396924955501,70.11230124494713,74.70050340494426,27
Jaime Mata,Getafe,ESP-La Liga,59.48092748892853,47.04118329449392,53.30287451300868,47.137315375855266,73.45538319064137,65.72081228343501,35
Juanmi Latasa,Getafe,ESP-La Liga,60.68924097118848,52.14862806907157,43.84968292021528,27.990295502917206,69.51102588729398,95.66818194644989,23
Óscar Rodríguez Arnaiz,Getafe,ESP-La Liga,46.586234819486734,41.555557604167085,100.0,61.730210064964055,84.5837647623076,41.11670329536531,25
Artem Dovbyk,Girona,ESP-La Liga,84.630350844194,30.739853398665506,43.30884228061909,17.50962156686419,75.04841427551303,65.37459103556078,26
Cristhian Stuani,Girona,ESP-La Liga,93.70639282417063,21.2855534562923,32.02557859905538,7.79488273787849,40.213979050846895,70.60238422875136,37
Antonio Puertas,Granada,ESP-La Liga,46.98984694222954,77.46340446129317,50.03133922850708,82.65362753109254,76.78076866193507,57.31563387655293,32
Lucas Boyé,Granada,ESP-La Liga,46.711619470284376,52.82765091428088,39.98432020785266,64.56793639529369,75.76188841368567,64.898144359784,28
Myrto Uzuni,Granada,ESP-La Liga,53.4159057219187,56.63959493433066,43.225416113915536,43.56523002220897,75.36317822894284,56.020878013275286,28
Marc Cardona,Las Palmas,ESP-La Liga,59.46306694964557,42.423945836791596,49.77703986824184,46.17622693862267,63.374865287363946,40.779793935335185,28
Sandro Ramírez,Las Palmas,ESP-La Liga,32.750949033494074,47.99377515511974,79.04003112116544,65.74217980802001,81.04604450859418,22.940000254303715,28
Sory Kaba,Las Palmas,ESP-La Liga,51.344644521338054,59.147440221400615,17.267056734279198,48.38553605346811,51.229347543672176,72.58483022235347,28
Abdón Prats,Mallorca,ESP-La Liga,58.9321152956874,50.55961920817958,56.50903363681433,35.878567273093246,79.29913801427104,77.83734660856955,31
Cyle Larin,Mallorca,ESP-La Liga,73.60708104216734,74.94026811464121,40.04411956454982,55.69662396116688,49.27477695421646,86.53930044546743,29
Vedat Muriqi,Mallorca,ESP-La Liga,53.45601016056851,59.226603573635764,61.98608879737159,38.615356752904574,83.94644155996365,91.60111801229948,30
Ante Budimir,Osasuna,ESP-La Liga,76.23019256569057,58.45090153502027,38.648359998268354,43.27794569867244,52.49163060503545,95.06015006035624,32
Raúl,Osasuna,ESP-La Liga,65.19808949480458,54.81237923393948,35.150729154529095,42.100176106166195,60.35912831775594,76.90996191235551,23
Kike Pérez,Rayo Vallecano,ESP-La Liga,47.47097403734617,63.93883315545622,67.36789376265307,71.36854709959978,70.72037468144258,51.64624129728173,27
Randy Ntekja,Rayo Vallecano,ESP-La Liga,52.755024448511655,70.23213413169222,34.81435431631799,67.0486783092584,74.63897263670519,70.27772266264704,26
Raúl de Tomás,Rayo Vallecano,ESP-La Liga,43.880988602620555,57.524581296744756,54.36831677724303,45.12780304429191,43.97295926489699,67.0237290730259,29
Sergio Camello,Rayo Vallecano,ESP-La Liga,46.78321151763297,53.93900249970087,52.98656309994452,54.50804518082622,76.70648548080818,45.95161486384014,23
Óscar Trejo,Rayo Vallecano,ESP-La Liga,37.85994019102243,35.69087418317815,57.228590739286,69.85096254204399,74.37231175068204,38.932610073980356,35
Brahim Díaz,Real Madrid,ESP-La Liga,57.15959576329632,49.20047358723196,67.54095502518337,86.11899139088169,84.35709814364495,4.347944656740603,24
Joselu,Real Madrid,ESP-La Liga,70.91770893681719,40.23606927561477,49.53756354169827,36.47040559723409,62.75220181513145,66.12391188313075,34
Rodrygo,Real Madrid,ESP-La Liga,65.27705452376718,65.2790570721475,54.31128812131508,97.40147300734249,72.58157157295423,20.44869296339574,23
Vinicius Júnior,Real Madrid,ESP-La Liga,75.20787728308322,63.12321832204293,51.559984300075556,98.32706502690262,65.4524774526715,1.2936647757829525,23
André Silva,Real Sociedad,ESP-La Liga,48.8788791616158,49.284083595609985,42.13361032382242,46.317690644429355,53.865059053870866,54.23769429562362,28
Mikel Oyarzabal,Real Sociedad,ESP-La Liga,55.373681514473425,44.489419172158144,54.87317559099172,40.9226621214678,68.89210390010925,61.28913155484371,27
