player,team,league,Progression Score,Defensive Score,Attacking Score,age
Ismaily,Lille,FRA-Ligue 1,76.6034011265489,93.75888969655225,62.766337715417706,33
Henrique,Lyon,FRA-Ligue 1,59.66798067415405,28.604400873614427,35.90325646205761,29
Nicolás Tagliafico,Lyon,FRA-Ligue 1,60.622168037785485,75.15843479050794,67.3533981226535,30
Quentin Merlin,Marseille,FRA-Ligue 1,43.9769081181767,16.825191554984215,56.04333270845756,21
Renan Lodi,Marseille,FRA-Ligue 1,37.62739676281882,54.90659955291193,56.388550636221545,25
Ulisses Garcia,Marseille,FRA-Ligue 1,46.79024745349894,41.67382518699957,47.93850285243709,27
Matthieu Udol,Metz,FRA-Ligue 1,71.94595349336207,85.30175495540817,84.64855951242563,27
Kassoum Ouattara,Monaco,FRA-Ligue 1,9.527728291588307,33.954198682079046,48.34406310383273,18
Issiaga Sylla,Montpellier,FRA-Ligue 1,67.65750236187327,63.68517900566374,64.24781598866069,29
Lucas Mincarelli,Montpellier,FRA-Ligue 1,47.684356712528775,51.88719425876789,42.53841612161169,19
Jean-Kevin Duverne,Nantes,FRA-Ligue 1,77.74534335968308,60.42209820139474,33.496348914399,26
Nicolas Cozza,Nantes,FRA-Ligue 1,46.116104259728054,34.76719653463394,40.18526871274099,24
Melvin Bard,Nice,FRA-Ligue 1,61.780858243258926,88.77434544332635,74.89353231888633,22
Lucas Hernández,Paris S-G,FRA-Ligue 1,80.12944268604127,80.66733151083199,46.37832849197983,27
Josh Wilson-Esbrand,Reims,FRA-Ligue 1,37.06813263406265,16.797539606187296,42.49016272119878,20
Sergio Akieme,Reims,FRA-Ligue 1,40.46312061403181,42.30866512702687,44.28262741926475,25
Thibault De Smet,Reims,FRA-Ligue 1,57.52046694903186,77.50819329824262,52.7357724945281,25
Adrien Truffert,Rennes,FRA-Ligue 1,58.62645773331492,75.494441319065,69.14760674936562,21
Frederic Guilbert,Strasbourg,FRA-Ligue 1,50.18158277091103,93.93783205987191,72.42427325662818,28
Thomas Delaine,Strasbourg,FRA-Ligue 1,43.9923410196356,65.38060951035142,83.46594839184863,31
Gabriel Suazo,Toulouse,FRA-Ligue 1,59.89882889268141,78.39364066331731,92.0638549000078,25
Moussa Diarra,Toulouse,FRA-Ligue 1,71.77528247153195,69.07580215707725,57.59751496683122,22
David Møller Wolfe,AZ Alkmaar,NED-Eredivisie,66.54757837816591,80.19706163933674,72.34778863376692,22
Ar'jany Martha,Ajax,NED-Eredivisie,57.84576238068067,52.511472489651425,56.61763259030843,20
Borna Sosa,Ajax,NED-Eredivisie,59.830256054418406,58.61072992152799,58.864604548048185,26
Manu Royo,Almere City,NED-Eredivisie,60.581411094775916,20.961444879919945,52.94119021982734,30
Sherel Floranus,Almere City,NED-Eredivisie,52.7261841064703,88.14099761579955,57.82168342490912,25
Arthur Zagre,Excelsior,NED-Eredivisie,80.89359928371024,83.45869973322425,72.71641768243417,22
Marcos López,Feyenoord,NED-Eredivisie,64.791080155366,23.127585457880752,53.81811572430756,24
Quilindschy Hartman,Feyenoord,NED-Eredivisie,71.37096447425897,81.31810784401344,84.02879366992056,22
Mitchell Dijks,Fortuna Sittard,NED-Eredivisie,84.93516738750778,75.89864072885793,71.80633652171758,31
Rémy Vita,Fortuna Sittard,NED-Eredivisie,39.36487203100123,42.77073296569355,39.832583551901706,23
Bas Kuipers,Go Ahead Eag,NED-Eredivisie,73.58804071052063,81.59921473281464,96.60641314773665,29
Mats Köhlert,Heerenveen,NED-Eredivisie,73.19803072999507,78.42073025575958,94.35462496800305,26
Fredrik Oppegard,Heracles Almelo,NED-Eredivisie,48.32273521396358,61.01871619844486,60.638765912466965,21
Jetro Willems,Heracles Almelo,NED-Eredivisie,76.33301225816248,48.21012730929494,61.711148209780035,30
Ruben Roosken,Heracles Almelo,NED-Eredivisie,44.524558688302264,67.41604580067154,73.62999599042274,24
Calvin Verdonk,NEC Nijmegen,NED-Eredivisie,85.09621178555574,96.10434121241465,86.36699781681713,27
Youri Baas,NEC Nijmegen,NED-Eredivisie,51.95881292188189,71.39948827511884,75.73679564713036,21
Patrick van Aanholt,PSV Eindhoven,NED-Eredivisie,76.317487361265,49.074706298974355,71.6782750066405,33
Sergiño Dest,PSV Eindhoven,NED-Eredivisie,68.96889186031217,76.45622827734087,84.89695105810743,23
Aaron Meijers,RKC Waalwijk,NED-Eredivisie,75.69110175770265,79.82934083729812,81.55015199570632,36
Thierry Lutonda,RKC Waalwijk,NED-Eredivisie,35.30195132203062,55.11233353279867,30.943150045921904,23
Django Warmerdam,Sparta R'dam,NED-Eredivisie,44.793736802239984,44.76141105470471,44.161977025538626,28
Djevencio van der Kust,Sparta R'dam,NED-Eredivisie,59.20988659523775,84.05027358400564,80.1676806276904,23
Gijs Smal,Twente,NED-Eredivisie,79.93891756378744,73.26415572796905,84.72313815916684,26
Youri Regeer,Twente,NED-Eredivisie,50.30636891376129,71.99344085286504,75.98891088890555,20
Souffian El Karouani,Utrecht,NED-Eredivisie,69.39972138407455,78.93438365161177,86.08700382917334,23
Yannick Leliendal,Utrecht,NED-Eredivisie,51.63671816581219,34.31787474725078,21.132604843066968,22
Enzo Cornelisse,Vitesse,NED-Eredivisie,56.08641025566074,62.9749162739197,60.081080767737184,21
Michael Pinto,Vitesse,NED-Eredivisie,82.37026611603515,65.04598400303672,73.52279572236763,30
George Cox,Volendam,NED-Eredivisie,64.95479704314147,73.11228005694915,71.06463555844982,26
Anselmo García MacNulty,Zwolle,NED-Eredivisie,87.90869299680126,84.15720244468187,74.29907215740495,21
Emmanuel Longelo,Birmingham City,ENG-Championship,62.39430223720228,48.576082681946104,43.90365606267467,23
Lee Buchanan,Birmingham City,ENG-Championship,83.98635335515952,87.11130078977959,60.21675151189194,23
Harry Pickering,Blackburn,ENG-Championship,71.20279026773682,80.62828023006735,72.38191074665376,25
Cameron Pring,Bristol City,ENG-Championship,52.63115577614913,89.0378180147824,77.67388198832347,26
Haydon Roberts,Bristol City,ENG-Championship,68.41610623535324,42.69433792425135,60.61745309293283,22
Jamilu Collins,Cardiff City,ENG-Championship,58.04108694633655,86.55432978666774,59.97674306377596,29
Josh Wilson-Esbrand,Cardiff City,ENG-Championship,38.79423372600257,13.174298823299363,33.192375526564696,21
Jake Bidwell,Coventry City,ENG-Championship,56.59796176319127,64.65543174354835,65.30556477646728,31
Brodie Gilmore,Huddersfield,ENG-Championship,50.69346885031788,63.17939769915174,40.285194742967846,20
Josh Ruffels,Huddersfield,ENG-Championship,45.69939322609847,33.291074770938664,44.75851803001344,30
Matty Jacob,Hull City,ENG-Championship,48.27512414751338,44.41969437098888,11.463946009484943,22
Ryan John Giles,Hull City,ENG-Championship,64.32931717082116,41.606146859811254,47.6384382419273,24
Rúben Vinagre,Hull City,ENG-Championship,27.326559658181658,17.602667045401816,49.112804820021495,25
Leif Davis,Ipswich Town,ENG-Championship,70.07152886008193,85.32087284227778,99.72401941989763,24
Jamie Shackleton,Leeds United,ENG-Championship,45.04706730186146,30.844400291117214,30.41719526576823,24
Junior Firpo,Leeds United,ENG-Championship,63.29802329984082,74.21407521179397,72.3622129654394,27
Sam Byram,Leeds United,ENG-Championship,62.936885518144926,82.03039886620412,63.84821649564116,30
Callum Doyle,Leicester City,ENG-Championship,71.93769113038911,65.98207618886096,49.06429916416962,20
James Justin,Leicester City,ENG-Championship,77.43775600505293,87.12045493079536,56.9165626535119,26
Alex Bangura,Middlesbrough,ENG-Championship,37.38403128627187,19.03940843441753,26.737274875496826,24
Lukas Engel,Middlesbrough,ENG-Championship,67.59535372899023,83.2197247690278,70.33083814257249,25
Luke Thomas,Middlesbrough,ENG-Championship,24.558003213709352,40.448804079484475,31.700818691007417,22
Dan McNamara,Millwall,ENG-Championship,56.3248290993809,65.45065304775827,41.52542294513656,25
Murray Wallace,Millwall,ENG-Championship,79.95830555971658,68.7830353992766,54.551300002320104,31
Dimitris Giannoulis,Norwich City,ENG-Championship,52.538344278133664,76.48237188491119,77.19244613718601,28
Przemysław Płacheta,Norwich City,ENG-Championship,4.8898615361672535,0.0,58.97654479744008,26
Sam McCallum,Norwich City,ENG-Championship,57.19605052801223,62.479672934701625,67.34766199810637,23
Kaine Kesler-Hayden,Plymouth Argyle,ENG-Championship,59.3165556791731,56.598894749912866,64.1556900432377,21
Mickel Miller,Plymouth Argyle,ENG-Championship,53.921361388384156,62.760751327348174,76.3334296015196,28
Kenneth Paal,QPR,ENG-Championship,65.24491259988122,83.78266933564308,85.68782073933575,26
Cohen Bramall,Rotherham Utd,ENG-Championship,51.384725684111096,66.49189069924293,72.6200113384328,28
Seb Revan,Rotherham Utd,ENG-Championship,53.405146059250974,74.8818975612059,70.23220067935395,20
Juan Delgado,Sheffield Weds,ENG-Championship,31.40054821815685,6.744505924599961,46.69370833127083,31
Marvin Johnson,Sheffield Weds,ENG-Championship,54.455617445993845,64.09330814668095,83.91807678154464,33
Ryan Manning,Southampton,ENG-Championship,79.035156088811,76.21291006838365,81.47296672540702,27
Enda Stevens,Stoke City,ENG-Championship,63.60828866977892,62.118891099625216,63.00336149056442,33
Jordan Thompson,Stoke City,ENG-Championship,55.38981586229127,66.24743611849152,65.34715242404462,27
Lynden Gooch,Stoke City,ENG-Championship,59.698643720243005,63.244770899519885,69.19595398125587,28
Ajibola Alese,Sunderland,ENG-Championship,44.3300272674475,25.542978401272688,22.159938131257466,23
Callum Styles,Sunderland,ENG-Championship,47.20762123583445,39.25065063939592,36.69597501994449,24
Dennis Cirkin,Sunderland,ENG-Championship,51.51620146236413,23.99785554555143,27.529318589276997,22
Leo Fuhr Hjelde,Sunderland,ENG-Championship,32.82721907827252,42.32110994683721,26.450326468905335,20
Niall Huggins,Sunderland,ENG-Championship,59.1747944534848,57.408094281759745,44.881125765588095,23
Josh Tymon,Swansea City,ENG-Championship,66.8807535342809,83.66414239106331,86.51236580266975,24
Jamal Lewis,Watford,ENG-Championship,57.34134641319447,76.25959411343571,76.58113717058647,26
James Morris,Watford,ENG-Championship,57.92783411389099,44.98011048607219,28.81592559049982,22
Adam Reach,West Brom,ENG-Championship,24.507099529648467,36.636893103071884,33.717790857278764,31
Conor Townsend,West Brom,ENG-Championship,76.34009310011615,78.28800417714622,76.83053566479623,31
Marlon,América (MG),BRA-League,81.94717676223077,68.15926241979437,62.47494940926385,28
