player,team,league,deep_lying_playmaker_score,ball_winner_score,dribbler_score,final_third_score,age
Gvidas Gineitis,Torino,ITA-Serie A,38.52618076717159,36.78910124316526,45.197581691340304,53.321773797292174,20
Ivan Ilić,Torino,ITA-Serie A,76.29952361677644,58.98177418258047,75.13661908543257,58.49926612534072,23
Karol Linetty,Torino,ITA-Serie A,67.32152632664156,70.64363725446475,63.80631179979092,39.63844587758727,29
Samuele Ricci,Torino,ITA-Serie A,75.89445008390376,71.8853566279529,77.44825183450186,51.73402193496054,22
Lazar Samardzic,Udinese,ITA-Serie A,67.14382759055275,58.258181910169235,86.54125295976466,77.61477169060365,22
Martín Payero,Udinese,ITA-Serie A,58.45083999193922,67.12210273576868,77.21119975010583,63.98999725500393,25
Sandi Lovrić,Udinese,ITA-Serie A,65.16484643932941,58.97917065555882,77.0990579748289,80.03796916100752,26
Walace,Udinese,ITA-Serie A,82.82978449049405,84.0766266789589,72.54790114886471,31.613540359604343,29
Arne Engels,Augsburg,GER-Bundesliga,58.45211152922711,65.62685260576785,58.64012120767512,65.73584839438679,20
Arne Maier,Augsburg,GER-Bundesliga,60.008468411796144,47.54877938414147,57.965400623828614,71.43765428439771,25
Fredrik Jensen,Augsburg,GER-Bundesliga,50.108469341482916,60.525887883524085,53.5278225095267,75.89864304039463,26
Anthony Losilla,Bochum,GER-Bundesliga,74.38849509814732,84.77703284199194,47.510123620380426,45.559052299998285,38
Kevin Stöger,Bochum,GER-Bundesliga,96.618537049592,82.37071466699186,87.93396441297703,77.1874135368194,30
Lukas Daschner,Bochum,GER-Bundesliga,15.681115864182008,19.649698040219732,46.03508643989166,92.42063429368716,25
Matúš Bero,Bochum,GER-Bundesliga,49.483734694505245,68.47056262472388,41.188806272819804,64.62104265050364,28
Patrick Osterhage,Bochum,GER-Bundesliga,60.922016679585724,79.41247340858872,69.0259507868284,43.815151537792836,24
Bartol Franjić,Darmstadt 98,GER-Bundesliga,56.774263008625006,55.29121881253801,54.390406833942784,26.769562731275933,24
Fabian Holland,Darmstadt 98,GER-Bundesliga,72.31064788214326,68.43826694317077,55.94028915077648,37.658929579378146,33
Julian Justvan,Darmstadt 98,GER-Bundesliga,54.69955069674276,38.567913029661554,64.2599872423817,83.83137585589442,26
Marvin Mehlem,Darmstadt 98,GER-Bundesliga,45.48391195807655,70.25597422248343,55.773801649430496,75.83902020172438,26
Mathias Honsak,Darmstadt 98,GER-Bundesliga,19.097178098909794,43.997848738021695,47.3368185544269,68.75062578734821,27
